Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Maritávora,2004,1782179,No. 4 Reserva Tinto 2004,0.0,5,60.0,Portugal,Douro
Dom Dinis,2008,4291197,Reserva 2008,0.0,1,6.49,Portugal,Tejo
Maritávora,2008,1782179,No. 4 Reserva Tinto 2008,0.0,9,45.0,Portugal,Douro
Symington,2016,5780044,Vale do Bomfim 2016,3.7,627,20.0,Portugal,Douro
Luis Pato,2015,1859648,Pato D'Oiro 2015,0.0,1,190.0,Portugal,Bairrada
Quinta da Romaneira,2011,1201768,Reserva Tinto 2011,4.3,320,45.0,Portugal,Douro
Maritávora,2013,4995848,No. 2 Grande Reserva Vinhas Velhas Tinto 2013,4.2,78,40.0,Portugal,Douro
Quinta do Pinto,2013,1397176,Merlot - Syrah 2013,3.8,131,12.95,Portugal,Alenquer
Casa Ferreirinha,1992,75980,Reserva Douro 1992,4.6,202,180.0,Portugal,Douro
Quinta Maria Izabel,2014,4460318,Maria Izabel Tinto 2014,3.9,718,30.0,Portugal,Douro
Quinta do Javali,2016,6475416,Maria Luisa Tinto 2016,0.0,23,180.0,Portugal,Douro
Jorge Rosas,2014,1306913,Puro Quinta da Touriga Douro 2014,4.0,494,25.0,Portugal,Douro
Casa Agrícola HMR,2012,1397230,Pousio Tinto 2012,3.3,187,30.0,Portugal,Alentejano
Luis Pato,2015,1859648,Pato D'Oiro 2015,0.0,1,190.0,Portugal,Bairrada
Herdade do Portocarro,2010,1200540,Cavalo Maluco Tinto 2010,4.1,345,65.0,Portugal,Península de Setúbal
Ervideira,2008,2045239,Conde d'Ervideira Private Selection Tinto 2008,4.0,84,120.0,Portugal,Alentejo
Xutos & Pontapés,2017,1894092,Tinto 2017,3.8,40,9.0,Portugal,Alentejano
Rola,2016,5568653,Vinha das Marias Tinto 2016,4.2,38,26.0,Portugal,Douro
Monte Bluna,2017,8837717,Blunissima Tinto 2017,4.4,40,64.9,Portugal,Arruda
Osvaldo Amado,2001,7962293,Raríssimo Tinto 2001,4.3,92,74.9,Portugal,Dão
Colinas de São Lourenço,2016,4419823,Espumante Cuvée Brut Nature 2016,0.0,3,18.99,Portugal,Bairrada
Folias de Baco,2015,1378527,Olho no Pé Reserva Pinot Noir 2015,3.8,51,16.0,Portugal,Duriense
Niepoort,2018,2899486,Douro Turris 2018,0.0,5,115.0,Portugal,Douro
Felix Rocha,1959,1534294,Colheita Seleccionada Red 1959,0.0,0,353.66,Portugal,Lisboa
Ma+Ru+Fa,2015,6507821,Edição Especial Tinto 2015,3.4,42,8.166666666666666,Portugal,Tejo
Casa Ferreirinha,1989,75977,Esteva Douro 1989,0.0,4,15.0,Portugal,Douro
Herdade do Peso,2019,76037,Reserva Alentejo Tinto 2019,0.0,21,29.0,Portugal,Alentejo
São João,1986,1665008,Quinta do Poço do Lobo Cabernet Sauvignon 1986,0.0,9,25.0,Portugal,Beiras
Alves de Sousa,1996,75723,Caldas Tinto 1996,0.0,5,15.0,Portugal,Douro
Caves do Barrocão,1960,2314068,Garrafeira Particular Tinto 1960,0.0,19,17.0,Portugal,Beiras
Caves do Barrocão,1964,2314068,Garrafeira Particular Tinto 1964,0.0,2,19.0,Portugal,Beiras
