Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Dulcinea Santos Ferreira,1995,1174934,Sidónio de Sousa Reserva Tinto 1995,0.0,3,49.0,Portugal,Bairrada
Vale da Corça,2016,1193416,Tinto 2016,4.6,34,140.0,Portugal,Douro
Cave Solar das Francesas,1963,1234211,Garrafeira Tinto 1963,0.0,23,39.0,Portugal,Lisboa
Monte do Pintor,2020,1360961,Escultor 2020,0.0,0,65.0,Portugal,Alentejano
Poeira,2007,1184120,Pó de Poeira Tinto 2007,0.0,23,120.0,Portugal,Douro
São João,1992,1665008,Quinta do Poço do Lobo Cabernet Sauvignon 1992,0.0,13,25.0,Portugal,Beiras
Pêra Grave,2005,1706208,Tinto 2005,0.0,7,19.0,Portugal,Alentejano
Adega de Pegões,1992,1979745,Peninsula de Setúbal Tinto 1992,0.0,0,9.0,Portugal,Península de Setúbal
Companhia das Quintas,2020,1291384,Tradição Tinto 2020,0.0,5,32.0,Portugal,Lisboa
Quinta do Sobral,2000,1428508,Reserva 2000,0.0,5,15.0,Portugal,Dão
Mouchão,1963,76439,Tinto 1963,0.0,15,190.0,Portugal,Alentejano
Herdade Grande,1999,1212844,Tinto 1999,0.0,7,9.9,Portugal,Alentejano
Sovibor,1995,1148668,Borba Reserva 1995,0.0,2,9.9,Portugal,Alentejo
Quinta das Bágeiras,1991,2101093,Reserva Tinto 1991,0.0,0,35.0,Portugal,Bairrada
Bacalhôa,1990,1213732,Meia Pipa Private Selection Castelão - Syrah 1990,0.0,0,12.0,Portugal,Península de Setúbal
Poeira,2007,1184120,Pó de Poeira Tinto 2007,0.0,23,120.0,Portugal,Douro
Burmester,2010,5216001,Casa Burmester Touriga Nacional 2010,0.0,22,21.0,Portugal,Douro
Vale do Rodo,1985,1395714,Cabeça de Burro Reserva 1985,0.0,6,15.0,Portugal,Douro
Companhia das Quintas,2020,1291384,Tradição Tinto 2020,0.0,5,32.0,Portugal,Lisboa
Quinta do Sobral,2000,1428508,Reserva 2000,0.0,5,15.0,Portugal,Dão
Mouchão,1963,76439,Tinto 1963,0.0,15,190.0,Portugal,Alentejano
Herdade Grande,1999,1212844,Tinto 1999,0.0,7,9.9,Portugal,Alentejano
Esporão,2004,1386245,Torre Tinto 2004,4.6,85,590.0,Portugal,Alentejo
Vale do Rodo,1982,1395714,Cabeça de Burro Reserva 1982,0.0,2,25.0,Portugal,Douro
Quinta do Sobral,2001,1428508,Reserva 2001,0.0,5,15.0,Portugal,Dão
Quinta dos Roques,1990,1146598,Dão Tinto 1990,0.0,5,25.0,Portugal,Dão
Herdade do Portocarro,2007,1203073,Tinto 2007,3.9,98,14.9,Portugal,Península de Setúbal
Adega Cooperativa de Borba,1999,1866956,Alentejo Grande Reserva 1999,0.0,0,49.0,Portugal,Alentejo
